,name,precision,recall,fscore,chore_total,docs_total,feat_total,fix_total,refactor_total,test_total,chore_train,docs_train,feat_train,fix_train,refactor_train,test_train,chore_test,docs_test,feat_test,fix_test,refactor_test,test_test
0,sequelize,0.6624837512940401,0.653448275862069,0.6362581582405799,156,335,184,603,114,59,139,152,133,361,55,31,17,183,51,242,59,28
1,ionic-framework,0.7116383238141103,0.6850899742930592,0.6861692421972126,1759,1300,716,2820,665,520,1142,895,479,1310,510,332,617,405,237,1510,155,188
2,element3,0.529872412851264,0.5445920303605313,0.5232537700578956,387,195,57,337,244,98,234,151,39,178,123,66,153,44,18,159,121,32
3,vite,0.6533158032847588,0.6435374149659864,0.6267316840381845,381,184,300,757,152,63,263,76,206,409,99,49,118,108,94,348,53,14
4,vee-validate,0.7495467164154344,0.7384615384615385,0.7334536711306898,449,446,273,263,123,71,218,248,183,178,94,54,231,198,90,85,29,17
5,stencil,0.5944581452967596,0.6075238629983155,0.5787022503946988,1165,123,590,1771,322,481,756,65,328,948,253,321,409,58,262,823,69,160
6,pgjdbc,0.748357264513432,0.7178423236514523,0.6994033290422766,108,73,53,224,60,85,53,34,38,130,48,59,55,39,15,94,12,26
7,ant-design,0.7601453720548141,0.7608257804632427,0.7455864288952277,635,1603,591,1653,238,246,361,957,359,1032,125,146,274,646,232,621,113,100
8,rest.js,0.6735560237802094,0.53125,0.5710803447341212,100,238,121,206,76,219,99,93,64,128,47,145,1,145,57,78,29,74
9,gatsby,0.6839417225971323,0.6657681940700808,0.6690916730596588,3898,869,1090,2307,104,80,2240,659,760,1255,49,46,1658,210,330,1052,55,34
10,instantsearch.js,0.525481362130494,0.5393494228751312,0.5255961829574801,804,380,433,606,65,95,527,262,216,334,23,68,277,118,217,272,42,27
11,commitlint,0.635885684096244,0.6695906432748538,0.617997660199331,304,183,81,180,54,53,205,112,52,103,20,21,99,71,29,77,34,32
12,aks-engine,0.6923122171062928,0.6967963386727689,0.6915727727671531,604,185,456,542,84,315,327,121,269,358,45,192,277,64,187,184,39,123
13,angular,0.7231729520317296,0.6898098036183702,0.675295123727446,1098,3766,2394,5065,2698,1146,1097,1867,1794,3071,1423,448,1,1899,600,1994,1275,698
14,angular.js,0.7770211201648595,0.7782397782397782,0.7511219767866368,1238,2938,587,1779,385,288,751,1742,391,1101,209,135,487,1196,196,678,176,153
15,vue-test-utils,0.7310814231144758,0.6906474820143885,0.6962035843724118,117,418,121,238,78,70,39,254,80,137,60,55,78,164,41,101,18,15
16,material-components-web,0.5616105444710685,0.5574886535552194,0.4974851190489377,692,649,690,912,212,150,490,503,357,543,70,20,202,146,333,369,142,130
17,zeebe,0.7147011176494454,0.7673054360578804,0.7160815958045137,4241,236,714,745,85,371,2292,114,566,515,40,308,1949,122,148,230,45,63
18,RSSHub,0.8266500447980617,0.8158347676419966,0.8146301562109642,94,376,1398,907,50,79,49,307,754,515,45,72,45,69,644,392,5,7
19,loopback-next,0.8065018724073671,0.8033707865168539,0.798144350207166,2540,513,831,764,144,104,1306,364,548,532,122,66,1234,149,283,232,22,38
20,renovate,0.6291328473637532,0.6294287780187997,0.6006049375507068,1034,444,1215,2982,1113,128,587,223,684,1939,673,44,447,221,531,1043,440,84
21,angular-cli,0.7019689316835042,0.6204732013520039,0.6106212543780302,359,498,906,2133,773,508,359,375,632,1240,285,215,0,123,274,893,488,293
22,deno,0.6728211159101437,0.6413881748071979,0.6179048941362046,187,218,412,722,324,82,74,117,281,435,204,56,113,101,131,287,120,26
23,ng-bootstrap,0.640997178793396,0.5062695924764891,0.4504725226004722,439,176,309,410,143,119,313,86,199,227,99,34,126,90,110,183,44,85
24,serverless,0.7583243093112527,0.758800521512386,0.7563494560216293,331,249,252,428,433,224,223,189,159,250,185,144,108,60,93,178,248,80
25,vuetify,0.8064986338281865,0.7972027972027972,0.7963738501749174,837,2556,523,2177,501,199,502,1060,399,1494,442,179,335,1496,124,683,59,20
26,camunda-bpm-platform,0.6615077171755027,0.6573821989528795,0.6549274032976633,5180,58,2201,3471,294,734,2708,34,1351,2282,284,504,2472,24,850,1189,10,230
27,node-mongodb-native,0.6306145867966505,0.6199004975124378,0.6114557752179993,306,191,223,521,585,686,157,94,158,286,362,450,149,97,65,235,223,236
28,components,0.742758832760195,0.7128598848368523,0.6805673515562437,1125,761,943,3001,537,146,898,427,546,1763,223,51,227,334,397,1238,314,95
29,js-ipfs,0.7750979421677167,0.7215033887861984,0.7293778117137204,2192,403,461,702,107,192,1247,222,329,444,46,146,945,181,132,258,61,46
30,goreleaser,0.7065303458385616,0.7115716753022453,0.6974560313158058,194,318,275,473,76,111,116,170,139,282,63,98,78,148,136,191,13,13
31,pnpm,0.6783456346097614,0.6116974494283202,0.6262141436509687,2099,249,747,1691,545,353,1345,168,515,862,350,170,754,81,232,829,195,183
32,vue-cli,0.7386901295781246,0.7263257575757576,0.7169938516289083,553,381,478,950,135,143,279,191,332,591,96,95,274,190,146,359,39,48
33,axe-core,0.7271921848761431,0.6996197718631179,0.6692666716251905,318,119,225,527,59,66,208,70,140,296,17,57,110,49,85,231,42,9
34,verdaccio,0.5712018098053099,0.5037481259370314,0.4953960198707776,690,131,132,318,312,84,320,120,50,207,245,58,370,11,82,111,67,26
35,webiny-js,0.6529568633414448,0.6594134342478714,0.6235719722365354,1520,60,1460,3906,510,471,1023,58,772,2354,272,277,497,2,688,1552,238,194
